filename,folder,type,width,height,bytes
"1-Jun 02 2025 03_11pm-tkZw.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,635726
"18-Jun 03 2025 09_04am-xnbg.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,1075750
"3-Jun 02 2025 03_11pm-nQ3K.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,778914
"41-Jun 10 2025 11_41am-tRfE.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,886525
"51-Jun 23 2025 04_48pm-4N12.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,565511
"9-Jun 02 2025 03_11pm-Lzez.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,708998
"29-Jun 03 2025 09_06am-VoxY.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,871632
"13-Jun 02 2025 03_12pm-YwVn.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,488695
"1-Jun 02 2025 03_11pm-qoCo.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,635726
"8-Jun 02 2025 03_11pm-zWu5.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,673858
"5-Jun 02 2025 03_11pm-5arW.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,924772
"17-Jun 03 2025 09_04am-Wu3c.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,1064630
"26-Jun 03 2025 09_06am-NjDY.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,687884
"24-Jun 03 2025 09_05am-8Thh.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,696367
"49-Jun 23 2025 04_48pm-oFhH.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,690317
"11-Jun 02 2025 03_12pm-VX4t.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,724668
"23-Jun 03 2025 09_05am-A8NV.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,715842
"34-Jun 03 2025 09_06am-aTug.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,891608
"28-Jun 03 2025 09_06am-abmQ.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,779489
"9083e18d-3fde-4b0b-af96-4b398c725a03.jpg","Cardinal/2025/Social Media/April",jpg,2882,2162,1225240
"a4209115-e095-45b5-97db-1b34aa08515e.jpg","Cardinal/2025/Social Media/April",jpg,1542,2048,511562
"3296b60c-5cc6-41a1-9092-318f48a4e535.jpg","Cardinal/2025/Social Media/April",jpg,2882,2162,1260834
"7ea882f0-dba1-4f34-b5be-4168dc1c9e95.jpg","Cardinal/2025/Social Media/April",jpg,1542,2048,788466
"72836558-77db-41c4-b42b-d333359e1107.jpg","Cardinal/2025/Social Media/April",jpg,2160,2880,1178477
"6224602b-b113-4047-b456-6ee77997def7.jpg","Cardinal/2025/Social Media/April",jpg,1542,2048,724021
"69263cb8-ac66-46d3-b8d6-81074b60e3ab.jpg","Cardinal/2025/Social Media/April",jpg,1542,2048,717421
"09280003-2956-45a3-8551-98900926b6e3.jpg","Cardinal/2025/Social Media/April",jpg,2882,2162,1943266
"adbc7ed1-2d6c-460c-9f10-dec1a91b6f66.jpg","Cardinal/2025/Social Media/April",jpg,2160,2880,1634548
"a4172e4d-5caa-4d83-afb3-b00fab22221d.jpg","Cardinal/2025/Social Media/April",jpg,1542,2048,735817
"13f492c3-52de-488b-b217-c6b142ac8091.jpg","Cardinal/2025/Social Media/April",jpg,2160,2880,1458107
"53eac0ac-070e-470c-a482-6ccae70836f9.jpg","Cardinal/2025/Social Media/April",jpg,2160,2880,1376234
"ba3f5651-52d2-43ca-b412-60e6abe08df8.jpg","Cardinal/2025/Social Media/April",jpg,1542,2048,764018
"24053c41-543d-4c0c-a0ad-796b14753a2b.jpg","Cardinal/2025/Social Media/April",jpg,1542,2048,1047779
"17.jpg","Cardinal/2025/Social Media/February",jpg,1080,1080,405981
"Peaster - Pier + Beam .MOV","Cardinal/2025/Social Media/February",mov,1080,,14294069
"October.jpg","Cardinal/2025/Social Media/February",jpg,1080,1080,150943
"2005 Kelly Rd.MOV","Cardinal/2025/Social Media/February",mov,1080,,6857435
"74455397446__C37DB4E2-A8BF-4232-9E0D-C214A8FF548B.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,4285010
"74455904929__34EF8540-5F00-498C-B2D7-B7BB2573EB1E.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,4562099
"74455895101__B3B1FCAE-C202-4AE3-BEED-A2D0520C1A16.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,3770567
"74455772043__B90EC54F-BFC4-4756-86C4-9A1289639370.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,4445891
"74455894097__6268667F-886A-4756-80AB-DAB474C6272B.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,3636234
"74455869925__5BFE0704-14AF-4DB4-8548-392288AE68AB.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,4386177
"74455770569__CAB6456C-7C9E-401B-B4CF-720B212349C7.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,3392788
"74455729980__CFB3C6E6-8690-423D-BC39-B7D20F51B860.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,5529468
"74455411220__77E864CC-27C8-41AF-93BE-E678349457CA.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,4431693
"74455771431__CAD20FD0-CC7E-40C4-A0CD-3B7048B37119.jpeg","Cardinal/2025/Social Media/February/2005 Kelly rd",jpeg,4032,3024,3014926
"Poly Foam Lift.MOV","Cardinal/2025/Social Media/May",mov,1080,1920,21828238
"Have you ever seen - steel pier replacement.MOV","Cardinal/2025/Social Media/Video + Reels",mov,1080,1920,25855516
"757059259ce0426784743ffa3bc7679f.MOV","Cardinal/2025/Social Media/Video + Reels",mov,1080,1920,16166343
"04.14 Cardinal.MOV","Cardinal/2025/Social Media/Video + Reels",mov,1080,1920,18171583
"CFRS_Social_1080X1920_Sept_2025.MOV","Cardinal/2025/Social Media/Video + Reels",mov,1080,1920,13535983
"Before and After - Pier Repair.MOV","Cardinal/2025/Social Media/Video + Reels",mov,1080,1920,16475017
"600 W 6th Video.MP4","Cardinal/2025/Social Media/January",mp4,1080,,20703655
"4.png","Cardinal/2025/Social Media/Graphics",png,1080,1350,75686
"5.png","Cardinal/2025/Social Media/Graphics",png,1080,1350,71644
"6.png","Cardinal/2025/Social Media/Graphics",png,1080,1350,82450
"2.png","Cardinal/2025/Social Media/Graphics",png,1080,1350,85840
"3.png","Cardinal/2025/Social Media/Graphics",png,1080,1350,90891
"1.png","Cardinal/2025/Social Media/Graphics",png,1080,1350,80218
"8-Mar 13 2025 02_08pm-nNzB.jpg","Cardinal/2025/4818 Wellington St",jpg,2160,2880,652439
"6-Mar 13 2025 02_07pm-Baa4.jpg","Cardinal/2025/4818 Wellington St",jpg,2160,2880,1198954
"1-Mar 13 2025 02_07pm-5Hki.jpg","Cardinal/2025/4818 Wellington St",jpg,2882,2162,721770
"3-Mar 13 2025 02_07pm-A5tG.jpg","Cardinal/2025/4818 Wellington St",jpg,2160,2880,838888
"7-Mar 13 2025 02_07pm-9g2W.jpg","Cardinal/2025/4818 Wellington St",jpg,2882,2162,774519
"Poly Foam Lift _ Cardinal Foundation Services _ Greenville TX.MOV","Cardinal/2025/4818 Wellington St",mov,1080,1920,12851054
"image000002.jpeg","Cardinal/2025/1850 Dplomat",jpeg,739,1600,167356
"IMG_3771.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3067854
"IMG_4466.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,2982062
"IMG_4569.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3342270
"IMG_3776.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,2927627
"IMG_4572.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3827946
"IMG_4460.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3774840
"IMG_3782.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3020005
"image000007.jpeg","Cardinal/2025/1850 Dplomat",jpeg,522,1130,145895
"IMG_3781.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3059498
"IMG_4459.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3592884
"IMG_4571.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3356257
"IMG_4463.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3146510
"IMG_4570.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,2421156
"image000006.jpeg","Cardinal/2025/1850 Dplomat",jpeg,739,1600,220773
"IMG_4465.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,3331485
"IMG_4464.jpeg","Cardinal/2025/1850 Dplomat",jpeg,4032,3024,2876794
"5-Jul 28 2025 11_04am-y7bo.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1440,1920,710845
"14-Jul 28 2025 11_06am-ADqY.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1440,1920,637807
"11-Jul 28 2025 11_05am-fgRF.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1440,1920,646633
"1-Jul 28 2025 10_59am-fijC.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1920,1440,896824
"19-Jul 28 2025 12_07pm-YwWL.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1440,1920,440919
"8-Jul 28 2025 11_04am-tPNk.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1440,1920,644055
"10-Jul 28 2025 11_05am-RqwT.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1440,1920,501423
"12-Jul 28 2025 11_05am-RdVt.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1440,1920,586347
"22-Jul 28 2025 12_08pm-68zt.jpg","Cardinal/2025/Commerical Steel Pier + Mudjacking",jpg,1920,1440,399212
"20-Apr 24 2025 11_46am-9Q94.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,1027785
"6-Apr 24 2025 10_50am-dX8R.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,564375
"10-Apr 24 2025 11_05am-gUeh.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,828721
"16-Apr 24 2025 11_41am-eoEk.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,716627
"25-Apr 24 2025 01_27pm-xmHi.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,976727
"2-Apr 24 2025 10_50am-f9ap.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,988456
"29-Apr 24 2025 01_27pm-TZfw.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,1106423
"11-Apr 24 2025 11_06am-TRNE.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,1089691
"13-Apr 24 2025 11_06am-u7Bd.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,979803
"33-May 09 2025 09_48am-SVND.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,821979
"3-Apr 24 2025 10_50am-gauw.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,898311
"36-May 09 2025 10_27am-D1kr.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,340437
"22-Apr 24 2025 01_21pm-EjB6.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,1117991
"12-Apr 24 2025 11_06am-FJEC.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,1051773
"7-Apr 24 2025 10_57am-uXbu.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,584033
"14-Apr 24 2025 11_41am-yNux.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,961397
"18-Apr 24 2025 11_46am-VGdZ.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,762199
"19-Apr 24 2025 11_46am-3BJU.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,1062682
"17-Apr 24 2025 11_41am-w1ZB.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,741908
"15-Apr 24 2025 11_41am-J5uo.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,762578
"5-Apr 24 2025 10_50am-i8Zk.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,435049
"31-Apr 24 2025 01_28pm-uQKZ.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,994772
"23-Apr 24 2025 01_27pm-ThuJ.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,798790
"34-May 09 2025 09_48am-dXKY.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,883924
"21-Apr 24 2025 01_21pm-ufeu.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,844499
"26-Apr 24 2025 01_27pm-3miz.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,916804
"35-May 09 2025 10_26am-oMeC.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,399266
"24-Apr 24 2025 01_27pm-GWeq.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,645175
"8-Apr 24 2025 10_57am-Zbz9.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,665301
"1-Apr 24 2025 10_50am-jUs3.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,862680
